"HIGHRISK","ID","NAME"
"false","33-0007616","QuickLink"
"false","71-0009016","Quisuc"
"false","60-0000828","Felics Inc."
"false","45-0001687","Gualas"
"false","05-0004157","Robutenia"
"false","65-0007095","Gualas Consulting"
"false","23-0000369","Furba Inc."
"false","92-0008906","Quicker Industries"
"false","01-0000732","Klein"
"false","36-0007315","Woods Inc."
"false","80-0005916","Terson LLC"
"false","01-0005242","Robutenia Associates"
"false","55-0003002","Interdem LLC"
"false","48-0004741","Furba"
"false","39-0005558","Nonos"
"false","26-0007772","Hostes Consulting"
"false","58-0007449","FlyHigh Consulting"
"false","34-0007462","Quicker Limited"
"false","73-0000254","Nonos"
"false","57-0004864","Datastore"
"false","52-0001034","Linger Inc."
"false","76-0008071","Gualas"
"false","24-0003440","MemorTech Industries"
"false","15-0003005","Morsem Industries"
"false","63-0003417","Nonos Inc."
"false","05-0008600","Gualas Company"
"false","06-0009765","FlyHigh Consulting"
"false","11-0007398","Terson"
"true","42-0000394","Klein"
"false","80-0006193","Vitae Industries"
"false","23-0008945","Terson Ltd"
"false","88-0006357","Klein"
"false","75-0004311","Terson Ltd"
"false","53-0006448","Buapel Industries"
"false","23-0008432","Quisuc"
"false","22-0008851","Datastore Industries"
"false","86-0006223","Furba Company"
"false","21-0009346","Alist"
"false","12-0002471","Warst"
"false","02-0003007","SuperMemo"
"false","64-0003168","Felics LLC"
"false","52-0004421","SuperMemo"
"false","84-0000621","Klein Consulting"
"false","02-0007280","Vitae Ltd"
"false","65-0004598","MemorTech"
"false","91-0009634","FlyHigh Industries"
"false","23-0006351","Yrsa"
"false","48-0007552","Datastore LLC"
"false","30-0007443","Porta"
"false","87-0008175","Yrsa LLC"
"false","48-0009265","Furba"
"false","75-0000495","Interdem Consulting"
"false","75-0005458","Morsem"
"false","05-0001022","Robutenia LLC"
"false","80-0001142","Furba Associates"
"false","20-0002457","Furba Consulting"
"false","11-0000693","Woods Limited"
"false","48-0007456","Alist"
"true","03-0001262","MemorTech"
"false","39-0004999","Quicker"
"false","34-0007757","Interdem Company"
"false","30-0001583","Klein"
"false","76-0000943","Hostes"
"false","53-0008616","Erntogra"
"false","45-0009998","SuperMemo"
"false","23-0008388","MemorTech"
"false","52-0001242","Terson"
"false","40-0004041","Erntogra Associates"
"false","71-0001909","Woods"
"false","15-0002056","Alist"
"false","23-0001463","FlyHigh"
"false","81-0006110","Buapel Inc."
"false","52-0001990","Felics Ltd"
"false","81-0004521","Nonos"
"false","93-0003238","MemorTech"
"false","92-0000812","Gualas"
"false","45-0008882","Quisuc Ltd"
"false","30-0008750","Datastore"
"false","72-0003445","Vitae LLC"
"false","99-0009488","FlyHigh LLC"
"false","24-0003796","Klein Consulting"
"false","78-0005990","SuperMemo"
"false","31-0000111","Beans"
"false","54-0003611","Datastore Consulting"
"false","34-0009132","Alist Limited"
"false","98-0009085","Interdem"
"false","66-0001820","Linger Consulting"
"false","36-0007378","Datastore"
"false","02-0000021","Hostes Inc."
"false","10-0009196","SuperMemo"
"false","33-0006618","Vitae Inc."
"false","34-0006093","SuperMemo"
"false","23-0004685","Nonos Industries"
"false","24-0002157","Woods"
"false","43-0000995","Yrsa"
"false","74-0009720","Buapel Industries"
"false","03-0005168","Yrsa"
"false","90-0000437","SuperMemo"
"false","93-0003587","Interdem Limited"
"false","98-0006518","Datastore Industries"
"false","59-0006985","Interdem Company"
"false","88-0008193","Felics LLC"
"false","50-0000685","Hostes Associates"
"false","04-0005397","Klein"
"false","63-0008192","Quicker Associates"
"false","03-0001737","Robutenia"
"false","26-0009516","QuickLink"
"false","45-0004472","Beans"
"false","57-0008867","Warst"
"false","22-0009971","Gualas Inc."
"false","44-0003715","Klein"
"false","46-0004285","Terson"
"false","81-0008841","Gualas"
"false","56-0006095","Woods"
"false","00-0006579","FlyHigh Associates"
"false","01-0005890","Gualas Ltd"
"false","88-0004173","Klein Limited"
"false","24-0002737","Woods Associates"
"false","85-0001294","Gualas Industries"
"false","00-0005711","Yrsa Inc."
"false","35-0006721","Buapel"
"false","39-0002150","Gualas"
"false","76-0000408","Felics"
"false","50-0003805","Vitae"
"false","43-0001131","Linger Inc."
"false","35-0001409","Alist"
"false","91-0006349","Erntogra Associates"
"false","46-0005023","Warst LLC"
"false","21-0005047","Interdem Ltd"
"false","46-0003505","MemorTech Consulting"
"false","63-0006403","Klein"
"false","93-0000861","Quisuc Industries"
"false","23-0004491","Morsem Company"
"false","66-0001182","Terson LLC"
"false","22-0006785","Yrsa"
"false","26-0008279","SuperMemo Limited"
"false","36-0007858","Adapt"
"false","95-0007462","Linger Inc."
"false","82-0007635","Robutenia"
"false","65-0006225","Alist"
"false","30-0004753","Klein"
"false","39-0009205","SuperMemo Industries"
"false","27-0007457","Quisuc"
"false","40-0000693","Linger"
"false","72-0008352","Quicker Inc."
"false","05-0001278","QuickLink Company"
"false","91-0005732","SuperMemo"
"false","31-0002447","Woods Consulting"
"false","21-0005551","Beans Associates"
"false","66-0004786","Yrsa Industries"
"false","92-0004432","Woods"
"false","52-0004550","Nonos Industries"
"false","52-0005625","Woods Consulting"
"false","42-0007083","MemorTech"
"false","60-0008726","Felics Ltd"
"false","05-0000364","Terson"
"false","67-0004486","Quisuc"
"false","67-0001192","Terson LLC"
"false","98-0004519","Interdem"
"false","27-0001484","QuickLink Associates"
"false","71-0003571","MemorTech Inc."
"false","25-0001945","Woods LLC"
"false","68-0004597","Interdem Inc."
"false","27-0003302","Terson Associates"
"false","01-0007914","SuperMemo Company"
"false","92-0007424","FlyHigh"
"false","91-0005195","Felics LLC"
"false","80-0003202","Erntogra Associates"
"false","35-0000200","Quicker"
"false","30-0008538","Erntogra"
"false","60-0004939","Felics Limited"
"false","31-0001033","Terson Consulting"
"false","27-0007300","Porta LLC"
"false","92-0004357","Linger Industries"
"false","35-0000891","Morsem Associates"
"false","52-0006070","Woods Associates"
"false","58-0003997","Woods"
"false","06-0001450","Buapel"
"false","56-0009102","Yrsa Limited"
"false","95-0003921","Woods Ltd"
"false","35-0009065","Quicker"
"false","30-0006921","QuickLink Industries"
"false","25-0001619","FlyHigh"
"false","63-0002382","Interdem Associates"
"false","93-0009827","Porta Company"
"false","62-0003643","Hostes Ltd"
"false","64-0005613","QuickLink LLC"
"false","48-0003111","Warst Inc."
"false","91-0002752","Beans Industries"
"false","12-0004478","Linger"
"false","56-0006058","Quisuc Associates"
"false","39-0005874","Terson Industries"
"false","26-0002430","Quisuc Industries"
"false","62-0001986","FlyHigh Ltd"
"false","56-0007427","Morsem"
"false","99-0004846","Gualas"
"false","56-0003791","SuperMemo"
"false","92-0006700","Hostes Limited"
"false","31-0001198","Morsem LLC"
"false","72-0007604","Adapt"
"false","99-0000893","Felics Limited"
"false","81-0004452","Hostes Consulting"
"false","05-0000316","Vitae Inc."
"false","87-0009667","Klein Industries"
"false","23-0001540","Linger Industries"
"false","33-0005316","Hostes"
"false","76-0003126","Beans"
"false","45-0002032","Morsem"
"false","87-0002049","Porta LLC"
"false","99-0000180","Robutenia"
"false","88-0000684","Interdem"
"false","62-0004597","Buapel LLC"
"false","85-0008914","Datastore"
"false","40-0004783","QuickLink"
"false","73-0006142","Woods Industries"
"false","90-0007666","Datastore"
"false","38-0005858","Interdem Limited"
"false","37-0006016","Morsem Associates"
"false","48-0002303","Interdem"
"false","62-0009790","Vitae Industries"
"false","72-0007224","FlyHigh"
"false","37-0007811","Alist"
"false","21-0000855","Quisuc"
"false","75-0009118","Vitae"
"false","85-0002046","Woods Limited"
"false","64-0006138","MemorTech Company"
"false","24-0008352","Quisuc"
"false","65-0002213","Woods Company"
"false","15-0005887","Woods"
"false","90-0003627","Erntogra Industries"
"false","24-0008480","Hostes LLC"
"false","03-0004127","Buapel Inc."
"false","13-0004857","Felics"
"false","73-0005032","Buapel"
"false","27-0001435","Interdem"
"false","92-0003218","Gualas Consulting"
"false","59-0009709","Vitae"
"false","93-0001370","Woods"
"false","40-0005746","Gualas"
"false","16-0008537","Buapel"
"false","05-0005190","Quicker"
"false","61-0001136","Warst Inc."
"false","68-0006571","Hostes"
"false","02-0000040","Morsem"
"false","22-0006052","MemorTech"
"false","83-0008033","Alist"
"false","95-0004038","Gualas LLC"
"false","60-0006795","Linger"
"false","95-0000734","Felics"
"false","37-0003017","Vitae Industries"
"false","80-0009131","Buapel"
"false","30-0001720","Gualas"
"false","56-0004614","Morsem Limited"
"false","73-0001294","Quisuc Ltd"
"false","55-0000416","Felics Company"
"false","40-0000064","Gualas"
"false","23-0002959","Adapt Industries"
"false","16-0001529","SuperMemo Company"
"false","46-0003949","Yrsa LLC"
"false","38-0007396","Nonos"
"false","93-0006601","QuickLink Inc."
"false","80-0008902","Warst Industries"
"false","39-0001689","Gualas Consulting"
"false","40-0004599","SuperMemo Associates"
"false","00-0002505","SuperMemo"
"false","50-0002475","Quicker Inc."
"false","06-0007194","Terson Associates"
"false","38-0000373","Interdem Associates"
"false","04-0003242","Alist Company"
"false","20-0004303","MemorTech Inc."
"false","63-0006525","Morsem"
"false","90-0000087","Nonos"
"false","63-0006387","Yrsa Inc."
"false","64-0004503","Porta Associates"
"false","64-0001958","QuickLink Limited"
"false","62-0004910","Alist"
"false","51-0004532","Morsem"
"false","43-0005816","Nonos Limited"
"false","48-0002575","Quisuc Industries"
"false","44-0000550","Robutenia"
"false","55-0000912","Linger Industries"
"false","95-0005701","Klein"
"false","83-0006518","SuperMemo Inc."
"false","56-0005552","FlyHigh"
"false","13-0004185","Klein"
"false","30-0001492","FlyHigh"
"false","91-0004311","Linger Limited"
"false","87-0009169","Beans"
"false","87-0001208","SuperMemo"
"false","35-0000274","Felics"
"false","52-0001377","Furba"
"false","34-0004412","SuperMemo Industries"
"false","31-0008525","QuickLink"
"false","85-0004723","Beans"
"false","60-0004209","Erntogra"
"false","78-0000346","Quisuc"
"false","75-0006711","Klein"
"false","77-0003361","Quicker LLC"
"false","45-0000051","Quisuc Associates"
"false","55-0005054","Linger Consulting"
"false","14-0008604","Woods Limited"
"false","33-0006047","Quicker Industries"
"false","15-0009131","Vitae Associates"
"false","37-0003008","Felics"
"false","57-0000391","Porta LLC"
"false","76-0002556","Buapel Ltd"
"false","59-0003051","Buapel Associates"
"false","80-0003083","Morsem Inc."
"false","21-0006253","Interdem Company"
"false","38-0008452","Woods Consulting"
"false","56-0001745","Porta Limited"
"false","10-0000695","Datastore"
"false","61-0005141","Morsem Inc."
"false","25-0000833","Adapt"
"false","34-0002907","QuickLink"
"false","24-0000722","Quisuc Associates"
"false","80-0004278","Interdem Limited"
"false","54-0008975","Vitae"
"false","27-0003945","Hostes Industries"
"false","11-0006677","Porta Inc."
"false","77-0009878","SuperMemo"
"false","74-0008867","Nonos Company"
"false","04-0003651","Erntogra LLC"
"false","71-0000912","QuickLink Consulting"
"false","40-0003107","FlyHigh"
"false","40-0007747","Warst"
"false","76-0007402","Linger Associates"
"false","50-0008972","Quicker Consulting"
"false","48-0004024","Porta Company"
"false","12-0008898","Klein Consulting"
"false","82-0008229","Quicker Ltd"
"false","32-0009122","Buapel"
"false","57-0002123","Linger"
"false","06-0009694","Linger Inc."
"false","43-0008436","Erntogra"
"false","91-0004214","Porta LLC"
"false","92-0005277","Erntogra"
"false","63-0001390","Warst"
"false","85-0006019","Yrsa Ltd"
"false","32-0009596","Morsem"
"false","50-0007843","Hostes"
"false","20-0003308","Beans Limited"
"false","91-0004720","Alist Inc."
"false","20-0008611","Vitae"
"false","10-0000219","Furba Associates"
"false","24-0007601","Buapel LLC"
"false","93-0004982","Interdem Industries"
